Year,Age,Annual Gap (EUR),Monthly Gap (EUR),Cumulative Gap (EUR)
2048,68,27002.78908413508,2250.2324236779236,27002.78908413508
2049,69,27542.844865817784,2295.237072151482,54545.63394995287
2050,70,28093.70176313414,2341.141813594512,82639.33571308701
2051,71,28655.575798396825,2387.964649866402,111294.91151148384
2052,72,29228.687314364757,2435.72394286373,140523.5988258486
2053,73,29813.261060652054,2484.4384217210045,170336.85988650066
2054,74,30409.526281865095,2534.1271901554246,200746.38616836577
2055,75,31017.7168075024,2584.8097339585333,231764.10297586818
2056,76,31638.071143652447,2636.505928637704,263402.17411952064
2057,77,32270.832566525496,2689.236047210458,295673.00668604614
2058,78,32916.249217856006,2743.020768154667,328589.2559039021
2059,79,33574.57420221313,2797.8811835177607,362163.83010611526
2060,80,34246.06568625739,2853.838807188116,396409.89579237264
2061,81,34930.98699998254,2910.915583331878,431340.8827923552
2062,82,35629.60673998219,2969.133894998516,466970.4895323374
2063,83,36342.19887478183,3028.516572898486,503312.68840711925
2064,84,37069.042852277475,3089.086904356456,540381.7312593968
2065,85,37810.423709323026,3150.8686424435855,578192.1549687198
2066,86,38566.632183509486,3213.886015292457,616758.7871522293
2067,87,39337.964827179676,3278.163735598306,656096.751979409
2068,88,40124.724123723274,3343.727010310273,696221.4761031322
2069,89,40927.21860619773,3410.601550516478,737148.69470933
2070,90,41745.76297832169,3478.8135815268074,778894.4576876516
2071,91,42580.678237888125,3548.3898531573436,821475.1359255398
2072,92,43432.291802645894,3619.357650220491,864907.4277281857
